role,video_id,scenario,method,horizon_ms,source_count,reference_count,reference_without_output,penalized_rmse,penalized_p95_frame_rmse,conditional_output_rmse,output_count,prediction_count,fallback_count,no_output_count,deadline_miss_count,output_coverage,prediction_coverage,on_time_prediction_rate_all_sources,reasons,remaining_lookahead_p05_ms,candidate_ready_latency_p50_ms,candidate_ready_latency_p95_ms,candidate_ready_latency_max_ms,prediction_queue_p95_ms,per_channel_jump_p95,per_channel_jump_max,reference_transition_count,matched_transitions,missed_transitions,unmatched_prediction_transitions,transition_lag_median_ms,transition_abs_lag_p95_ms
development_validation,V1,algorithm_only,linear_pose_w8,150,300,295,0,0.043429938677922775,0.06263388486102581,0.043429938677922775,300,294,6,0,0,1.0,0.98,0.98,"{""history_warmup"": 6}",150.0,0.0,0.0,0.0,0.0,"[0.01761348763085331, 0.011998407100495139, 0.0412542984710538, 0.04073282212850548, 0.026108907953363594, 0.027729952109903273, 0.020904888884502936, 0.015594608703259403, 0.003793616900261179]","[0.1806514776668259, 0.16555597925666407, 0.1803633165013559, 0.20195606331860913, 0.17398470737752042, 0.19665761596773124, 0.19923057744049583, 0.23756731506152046, 0.0436901906988737]",2,2,0,2,-80.04999999999995,152.0949999999999
development_validation,V1,nominal,hold_channels,50,300,298,0,0.01453192938686134,0.01967987442678562,0.01453192938686134,300,300,0,0,0,1.0,1.0,1.0,{},27.87041499705083,20.334900000307243,22.12958500294917,42.09420000188402,0.0,"[0.011959602459802002, 0.008620882220757983, 0.01738637651405477, 0.016239896194604662, 0.014462344478718055, 0.013833358505417705, 0.01376886219082542, 0.008788396590863149, 0.0022071433094068165]","[0.15125955320850942, 0.13793454011473216, 0.15348524607305036, 0.1636005195403632, 0.153005392193234, 0.16404198794613922, 0.20410612473693704, 0.22650393191108137, 0.03663558217406318]",2,2,0,1,32.0,32.02999999999956
development_validation,V1,nominal,hold_channels,100,300,296,0,0.031922527351624604,0.03781144583979793,0.031922527351624604,300,300,0,0,0,1.0,1.0,1.0,{},77.87041499705083,20.334900000307243,22.12958500294917,42.09420000188402,0.0,"[0.011959602459802002, 0.008620882220757983, 0.01738637651405477, 0.016239896194604662, 0.014462344478718055, 0.013833358505417705, 0.01376886219082542, 0.008788396590863149, 0.0022071433094068165]","[0.15125955320850942, 0.13793454011473216, 0.15348524607305036, 0.1636005195403632, 0.153005392193234, 0.16404198794613922, 0.20410612473693704, 0.22650393191108137, 0.03663558217406318]",2,2,0,1,80.6833333333334,94.52833333333328
development_validation,V1,nominal,hold_channels,150,300,295,0,0.03916276927189955,0.059437715770364226,0.03916276927189955,300,300,0,0,0,1.0,1.0,1.0,{},127.87041499705083,20.334900000307243,22.12958500294917,42.09420000188402,0.0,"[0.011959602459802002, 0.008620882220757983, 0.01738637651405477, 0.016239896194604662, 0.014462344478718055, 0.013833358505417705, 0.01376886219082542, 0.008788396590863149, 0.0022071433094068165]","[0.15125955320850942, 0.13793454011473216, 0.15348524607305036, 0.1636005195403632, 0.153005392193234, 0.16404198794613922, 0.20410612473693704, 0.22650393191108137, 0.03663558217406318]",2,2,0,1,119.95000000000027,127.28500000000035
development_validation,V1,nominal,hold_pose,50,300,298,0,0.01453192938686134,0.01967987442678562,0.01453192938686134,300,297,3,0,3,1.0,0.99,0.99,"{""deadline_miss"": 3}",14.093950001370104,33.19965000082448,35.906049998629896,61.41420000130893,0.0,"[0.011959602459802002, 0.008620882220757983, 0.01738637651405477, 0.016239896194604662, 0.014462344478718055, 0.013833358505417705, 0.01376886219082542, 0.008788396590863149, 0.0022071433094068165]","[0.15125955320850942, 0.13793454011473216, 0.15348524607305036, 0.1636005195403632, 0.153005392193234, 0.16404198794613922, 0.20410612473693704, 0.22650393191108137, 0.03663558217406318]",2,2,0,1,15.983333333333576,30.368333333333794
development_validation,V1,nominal,hold_pose,100,300,296,0,0.031922527351624604,0.03781144583979793,0.031922527351624604,300,300,0,0,0,1.0,1.0,1.0,{},64.0939500013701,33.19965000082448,35.906049998629896,61.41420000130893,0.0,"[0.011959602459802002, 0.008620882220757983, 0.01738637651405477, 0.016239896194604662, 0.014462344478718055, 0.013833358505417705, 0.01376886219082542, 0.008788396590863149, 0.0022071433094068165]","[0.15125955320850942, 0.13793454011473216, 0.15348524607305036, 0.1636005195403632, 0.153005392193234, 0.16404198794613922, 0.20410612473693704, 0.22650393191108137, 0.03663558217406318]",2,2,0,0,64.66666666666697,65.23666666666686
development_validation,V1,nominal,hold_pose,150,300,295,0,0.03916276927189955,0.059437715770364226,0.03916276927189955,300,300,0,0,0,1.0,1.0,1.0,{},114.0939500013701,33.19965000082448,35.906049998629896,61.41420000130893,0.0,"[0.011959602459802002, 0.008620882220757983, 0.01738637651405477, 0.016239896194604662, 0.014462344478718055, 0.013833358505417705, 0.01376886219082542, 0.008788396590863149, 0.0022071433094068165]","[0.15125955320850942, 0.13793454011473216, 0.15348524607305036, 0.1636005195403632, 0.153005392193234, 0.16404198794613922, 0.20410612473693704, 0.22650393191108137, 0.03663558217406318]",2,2,0,0,103.93333333333385,111.01333333333355
development_validation,V1,nominal,linear_pose_w2,50,300,298,0,0.010461596175713706,0.010939347428456741,0.010461596175713706,300,297,3,0,1,1.0,0.99,0.99,"{""history_warmup"": 2, ""deadline_miss"": 1}",14.392870001756819,33.17275000154041,35.60712999824318,55.0641000008909,0.0,"[0.02265751832010146, 0.018790638087430558, 0.02873432672644421, 0.024978919094111315, 0.024536103669776932, 0.023117522346154617, 0.02514079576932289, 0.016897128994476526, 0.004474987971908703]","[0.16909582386561994, 0.14859878244041042, 0.19910132529378344, 0.22272195685002733, 0.22732991876946607, 0.23139005708085714, 0.22661734306339526, 0.24672566646894373, 0.04139486376643678]",2,2,0,2,15.983333333333576,30.368333333333794
development_validation,V1,nominal,linear_pose_w2,100,300,296,0,0.030008198803760277,0.022405936282772494,0.030008198803760277,300,298,2,0,0,1.0,0.9933333333333333,0.9933333333333333,"{""history_warmup"": 2}",64.39287000175682,33.17275000154041,35.60712999824318,55.0641000008909,0.0,"[0.03521934801845803, 0.03024254174724566, 0.056473584989012976, 0.05819367376748755, 0.0565172702926293, 0.06432801743063918, 0.03648841548308202, 0.03519722437975419, 0.007571423161632405]","[0.25310053811197797, 0.23101378998521432, 0.28719037623070276, 0.29228758237928987, 0.4837026568231256, 0.48284761795908127, 0.40952822063224736, 0.3634781511243622, 0.06128536176178018]",2,2,0,8,-23.25,44.175
development_validation,V1,nominal,linear_pose_w2,150,300,295,0,0.04245234269353272,0.0403833570394408,0.04245234269353272,300,298,2,0,0,1.0,0.9933333333333333,0.9933333333333333,"{""history_warmup"": 2}",114.39287000175682,33.17275000154041,35.60712999824318,55.0641000008909,0.0,"[0.05463889579492429, 0.039777990165274876, 0.10035443919867965, 0.10919428680722695, 0.09599590460100224, 0.09313742432288737, 0.05446956299494747, 0.05073551105576594, 0.010631041058924819]","[0.45653984473094544, 0.3758899287330243, 0.531033461807106, 0.5624960552885065, 0.6921083443415671, 0.6919785136593509, 0.6157308728905195, 0.589535040528551, 0.11374662354437313]",2,2,0,10,-15.983333333333121,30.368333333332927
